airport_id,name,iso_country,iso_region,city,iata_code
1,Aero B Ranch Airport,US,US-KS,Leoti,
2,Lowell Field,US,US-AK,Anchor Point,
3,Epps Airpark,US,US-AL,Harvest,
4,Katmai Lodge Airport,US,US-AK,King Salmon,
6,Fulton Airport,US,US-OK,Alex,
7,Cordes Airport,US,US-AZ,Cordes,
8,Goldstone (GTS) Airport,US,US-CA,Barstow,
9,Williams Ag Airport,US,US-CA,Biggs,
12,Grass Patch Airport,US,US-FL,Bushnell,
14,River Oak Airport,US,US-FL,Okeechobee,
15,Lt World Airport,US,US-GA,Lithonia,
18,Delta Shores Airport,US,US-ID,Clark Fork,
19,Goltl Airport,US,US-KS,McDonald,
21,Hammer Airport,US,US-IL,Polo,
23,Hayenga's Cant Find Farms Airport,US,US-IL,Kings,
24,Hayden Farm Airport,US,US-KS,Gardner,
25,Robbins Roost Airport,US,US-KY,Stanford,
28,Lejeune Airport,US,US-LA,Crowley,
29,Slater Field,US,US-MD,Federalsburg,
31,Battle Lake Municipal Airport,US,US-MN,Battle Lake,
32,Cooper Flying Service Airport,US,US-MO,Alba,
34,Bucks Airport,US,US-NJ,Bridgeton,
35,North Raleigh Airport,US,US-NC,Louisburg,
39,Weiss Airfield,US,US-NY,West Bloomfield,
42,Gull Bay Landing Airport,US,US-OK,Sandsprings,
45,Ferrell Field,US,US-PA,Mercer,
47,McKenzie Bridge State Airport,US,US-OR,Blue River,
48,Flying O Airport,US,US-SC,Sumter,
49,Homan Field,US,US-SD,Gary,
53,Alpine Range Airport,US,US-TX,Everman,
54,Nowhere Airport,US,US-TX,Goodlett,
57,Vaughan Airport,US,US-VA,Alton,
58,Groundhog Mountain Airport,US,US-VA,Hillsville,
59,Lower Granite State Airport,US,US-WA,Colfax,
60,Howell Airport,US,US-WA,Longbranch,
61,Northern Lite Airport,US,US-WI,Waupaca,
62,Hawks Run Airport,US,US-WA,Asotin,
63,Lazy J. Aerodrome,US,US-WV,Beverly,
